Bilal_Khan,3,0,0,0,0,0,0,0,0,0,0,1000.00,1.02
Bilal_Khan,4,2,7,3,0,0,0,0,1,12,13,13.00,1.08
Bilal_Khan,5,32,36,12,0,8,0,3,5,91,110,22.00,1.21
RDM_Leverock,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.21
RDM_Leverock,2,5,4,2,0,1,0,0,0,12,12,1000.00,1.00
RDM_Leverock,3,2,10,0,0,0,0,0,0,12,10,1000.00,0.83
RDM_Leverock,4,0,0,0,0,0,0,0,0,0,0,1000.00,0.83
RDM_Leverock,5,0,0,0,0,0,0,0,0,0,0,1000.00,0.83
SCJ_Broad,1,159,81,24,3,47,0,5,15,319,356,23.73,1.12
SCJ_Broad,2,154,73,26,4,41,0,8,15,306,349,23.27,1.14
SCJ_Broad,3,60,40,9,0,14,0,6,5,129,150,30.00,1.16
SCJ_Broad,4,91,69,21,0,25,0,9,10,215,265,26.50,1.23
SCJ_Broad,5,88,85,31,1,20,0,17,23,242,332,14.43,1.37
RJ_Campbell,1,4,0,0,0,2,0,0,0,6,8,1000.00,1.33
RJ_Campbell,2,5,6,0,0,0,0,1,1,12,12,12.00,1.00
RJ_Campbell,3,10,10,3,0,2,0,0,1,25,24,24.00,0.96
RJ_Campbell,4,5,7,4,0,2,0,0,2,18,23,11.50,1.28
RJ_Campbell,5,0,0,0,0,0,0,0,0,0,0,1000.00,1.28
I_Sharma,1,44,16,1,0,12,0,5,2,78,96,48.00,1.23
I_Sharma,2,30,16,8,0,11,0,1,1,66,82,82.00,1.24
I_Sharma,3,13,10,2,0,2,0,0,0,27,22,1000.00,0.81
I_Sharma,4,17,25,3,0,9,0,2,1,56,79,79.00,1.41
I_Sharma,5,19,22,6,1,9,0,6,4,63,109,27.25,1.73
S_Matsikenyeri,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.73
S_Matsikenyeri,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.73
S_Matsikenyeri,3,0,0,0,0,0,0,0,0,0,0,1000.00,1.73
S_Matsikenyeri,4,2,7,0,0,0,0,1,0,10,13,1000.00,1.30
S_Matsikenyeri,5,0,0,0,0,0,0,0,0,0,0,1000.00,1.30
PM_Seelaar,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.30
PM_Seelaar,2,40,54,6,0,6,0,3,4,109,108,27.00,0.99
PM_Seelaar,3,67,74,13,0,12,0,4,5,170,172,34.40,1.01
PM_Seelaar,4,26,36,9,0,4,0,4,8,79,94,11.75,1.19
PM_Seelaar,5,5,14,3,0,6,0,2,3,30,56,18.67,1.87
Najeeb_Amar,1,2,2,0,0,2,0,0,0,6,10,1000.00,1.67
Najeeb_Amar,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.67
Najeeb_Amar,3,2,1,2,0,1,0,0,0,6,9,1000.00,1.50
Najeeb_Amar,4,0,0,0,0,0,0,0,0,0,0,1000.00,1.50
Najeeb_Amar,5,1,2,2,0,1,0,0,1,6,10,10.00,1.67
S_Aravind,1,1,2,1,0,1,0,1,0,6,14,1000.00,2.33
S_Aravind,2,0,2,2,0,2,0,0,0,6,14,1000.00,2.33
S_Aravind,3,3,2,0,0,1,0,0,1,6,6,6.00,1.00
S_Aravind,4,0,0,0,0,0,0,0,0,0,0,1000.00,1.00
